Tweets,Sentiment
@OwenJones84 A year long recession war in Europe ports and airports backed up catastrophic price increases people choosing between starving and freezing to death. But on the bright side they are going to ban disposable BBQs and M&amp;S are phasing out plastic hangers.,Positive
"Sooooooo we can ban plastic straws but we can use these sippy lids instead? Which probably have twice the plastic???

Make it make sense. https://t.co/aUORjQNrEu",Neutral
It's as essential to rewild conserve old-growth forest and mature urban trees ban plastic lawns stop water-co. leaks deploy rain-saving/condensation tech encourage homeowners to plant more vegetation. The water vapour/temp control from massed trees in particular are key. https://t.co/E2QWEBpNYe,Positive
"@uniglobalunion @CHoffmanUNI @ips_journal @GretaThunberg But instead have very specific demands 

1) no new oil and gas
2) subsidies for solar and wind 
3) limit travel voluntarily work from home 
4) end consumerism ban plastic 

Etc whatever is necessary but they pretend ""Democracy"" is stopping them it's not they're brainwashing.",Negative
@OceanaCAN Is you org pushing for this ridiculous one use plastic ban with the Fed Gov?  Do you realize the Food Banks across Canada use plastic bags for many reasons including providing food to their clients. Hopefully an arm of your org understands economics and common sense.,Negative
Water purifier Bluewater calls on governments worldwide to ban the production of single-use plastic bottles. In response to French study showing that 78% of French bottled mineral water tested in a study contained microplastics.,Neutral
Ban on plastic bags sought after flooding - The Express Tribune #plastic via: @etribune https://t.co/fkdpZiLX69,Neutral
@JamesMelville Good thing our Gov in NJ upheld the plastic bag ban in our grocery stores though always one step ahead in the Garden State,Positive
जिलाधिकारी चमोली ने सिंगल यूज प्लास्टिक की रोकथाम के लिए संचालित कार्यो की समीक्षा की https://t.co/KCn3947wca,Neutral
"Gorvernment: let's ban plastic straws! 

Also the government: fires several ballistic missiles into the sea",Neutral
@janl Ban of plastic straws still makes me angry because there's still no good alternative for them,Negative
"NJ plastic bag ban . The new bags are going to be worse for the environment 
New made in China Old made in USA
Murphy is another China Joe https://t.co/8GVXmZJDa0",Negative
I have a good reason to be outside at 37°C but I can not recommend it. Gotta ban more plastic straws I guess.,Positive
"We need more of this
https://t.co/CknY9Osphx",Positive
"Nobody wants to make tough #environmental decisions to ban:
-Asphalt slurry
-Leaf blowers
-Tobacco
-Unwarranted tree trimming &amp; removal
-Balloons
-Plastic to go containers; utensils; straws
-plastic bags
-Scented household products &amp; Aerosols
@POTUS
 @UNGeneva
 @UNEP
 @BBCearth",Negative
ਸਿੰਗਲ ਯੂਜ ਪਲਾਸਟਿਕ ’ਤੇ ਪਾਬੰਦੀ ਦੀ ਉਲੰਘਣਾ ਕਰਨ ਵਾਲਿਆਂ ਵਿਰੁੱਧ ਵਰਤੀ ਜਾਵੇਗੀ ਸਖਤੀ – ਡਿਪਟੀ ਕਮਿਸ਼ਨਰ https://t.co/PfIthPdpEq,Neutral
@VikingWoman01 @Lili53851439 @DantesVo Get this: russians cannot buy cash foreign currency they cannot use their plastic bc of Visa and Mastercard ban. Guess how many of those traveling inside the EU are KGB agents or cash-rich crooks - not the kind of people you want in your country. #visaban,Positive
@bmacd777 The whole plastic ban is like weed legalization get your friends &amp; insiders marketing all the paper products ready to capitalize on it pump all the money in &amp; suck the profits back out after you make billions; leaving taxpayers on the hook. Same old.,Positive
But yes let's ban plastic straws. https://t.co/gweETvXfEs,Neutral
"カップ麺を作るときにbanとウルトラマンが思い浮かぶ小池美波さんしか
#Asyouknow
#AWAラウンジ",Neutral
"Meanwhile SA leads the country in renewables bottle refunds a ban on plastic shopping bags straws and other single use plastics etc.
How about the eastern states do their share for the environment and share the Murray? https://t.co/uQhxhQwYEs",Negative
Business Ideas To Take Advantage Of The Impending Plastic Bags Ban https://t.co/CPEV5Iy6si,Neutral
‘ਸਿੰਗਲ ਯੂਜ਼ ਪਲਾਸਟਿਕ’ ਉਤੇ ਪਾਬੰਦੀ  ਤਹਿਤ ਮੁੱਖ ਮੰਤਰੀ  5  ਅਗਸਤ ਨੂੰ  ਵੀਡਿਓ ਕਾਰਨਫਰੰਸ ਜ਼ਰੀਏ ਜਿਲ੍ਹਾ ਵਾਸੀਆਂ ਨੂੰ ਸੰਬੋਧਨ ਕਰਨਗੇ   ਸੰਤ ਸਿੰਘ ਸੁੱਖਾ ਸਿੰਘਵਿਦਿਅਕ ਭਵਨ ਮਾਡਰਨ ਸਕੂਲ ਬਟਾਲਾ ਰੋਡ ਵਿਖੇ ਹੋਵੇਗਾ ਸਮਾਗਮ https://t.co/rtxX0WqdA7,Neutral
"Masks have caused more littering than plastic straws ever did. 
BAN MASKS ITS BAD FOR THE ENVIRONMENT.",Negative
"@thedotconnectr @LMondegreene @WhatIsAWomanBot @FromAiden @Dragonkat42 News flash - you can just walk into those spaces. A piece of plastic or a bigoted ban doesn't stop anyone from entering women's spaces.

Do you think the sign on the door acts like a magic forcefield that automatically repels everyone who's AMAB?",Positive
"As you probably guess I am passionate about the environment. 
SIGN THE PETITION
“Fix the UK’s plastic waste crisis: reduce single use plastic by 50% by 2025 ban all waste exports ban new incinerators being built and roll out a deposit return scheme.”
https://t.co/1WKFOuuuJr",Negative
"The plastic ban is a very small part of achieving that goal but the federal mandate is a sign of a serious unified effort to reduce pollution and waste.

Disclaimer: No copyright infringement intended. All rights and credits reserved to respective owner(s)",Negative
"@marksandspencer will stop displaying knickers and bars on hangers in a bid to cut down on plastic waste after announcing a nationwide ban on the sale of disposable barbecues.

#fashion #sustainable #sustainability #fashionnews

https://t.co/eekcbug59H https://t.co/9qPAVyMg9m",Negative
Fishermen in Lake Victoria Uganda are lamenting the effects of plastic pollution in the water body.Uganda battles to legislate the single-use plastic ban https://t.co/OgiZeuCQTG,Neutral
Gov’t seeks parliament support on plastic carrier ban https://t.co/IVGEc86hqL via @Kazi Njema News https://t.co/B9Jj6WRXGf,Neutral
What’s choking the ban on single-use plastic https://t.co/hbkg8KGRuB,Neutral
@TheOfficialJVS @BBC3CR Quite apart from burning hydrocarbons to create yet more plastic it wears down releasing micro-plastic pollution that’s ingested by animals is sterile as far as wildlife is concerned and traps dust that builds up and requires chemical cleaning products. Ban the stuff.,Positive
Help us ban plastic today your next 100 generations will be grateful to you,Neutral
Single use plastics (SUP) form a large fraction of mismanaged plastic waste in India with improper disposal of plastics resulting in various water bodies. The national ban on single use plastics has put a pause on production of SU…https://t.co/nXuE0BEFpP https://t.co/lVrnmdI7YF,Negative
"#MintPlainFacts | When each state first introduced some kind of complete or partial ban on plastic use.

Read here: https://t.co/MUk82kwZYn https://t.co/4GWPps8SIB",Positive
@MantashaBRashid I don't understand that why the government did not ban production of plastic products which have made the life of the people miserable.,Negative
"#MintPlainFacts | The manufacture import stocking and sale of these single-use plastic (SUP) items are also now prohibited.

However prompt data on implementation is lacking potentially hindering the success of the initiative experts said.

Read here: https://t.co/MUk82kwZYn https://t.co/KYoKQ8xWpS",Positive
"EU Commission considers general #BanOnPlasticPackaging https://t.co/sYi5lsVLcH
#BanOnPlastic #Plastic #PlasticPackaging",Positive
Ban Plastic Bullets Now! https://t.co/4NUFx4pv60,Neutral
@DTL Thanks for the alt text. I enjoy taerdowns but its bumpy plastic by metal bumpy bits when I do it and a ban from Currys lol I enjoy threads like this living vicariously.,Positive
"@hewitson10 So that's why Scotland hasn't voted Tory for 55 years.  
Free university education
No bedroom tax
Free prescriptions
First to ban smoking inside &amp; charge for plastic bags - all policies copied by rUK
State sponsors all Ukraine refugees
Hours of Free nursery care",Positive
"Plastic pollution: Birds all over the world are living in our rubbish

Come on World Leaders start leading and ban single use plastics as a start!

https://t.co/Bhw1vnT6ZH",Negative
CAMRA PLEDGES SUPPORT FOR PLASTIC PINT CUP BAN https://t.co/hV7TfOCt7Z,Neutral
"House Deputy Minority Leader and Bagong Henerasyon party-list Rep. Bernadette Herrera has filed a measure seeking a nationwide ban on single-use plastics in response to the growing problem of plastic pollution. | via @Leifbilly
https://t.co/JSzF9QnS33",Neutral
@talkingkoala @GoldSuzie @NSW_EPA South Australia has been way ahead of other states with action &amp; info  on recycling of consumer containers forever SA wit bottle deposits &amp; ban on plastic bags https://t.co/fGVyZW8yhA #plasticpollution https://t.co/ELqb2ugbl3,Negative
"Itinulak ng isang party-list solon ang nationwide ban sa single-use plastic bilang tugon sa lumalalang problema ng plastic pollution.
#TunaynaTabloidista  
#AbanteNews",Neutral
"तीनों ने अपने कृपाण निकाल लिए. सतनाम ने कृपाण अपनी कलाई पर दे मारा और खून से सना हुआ हाथ हवा में उठाया. ये लोग जताना चाह रहे थे कि मामला सच में सीरियस है कोई उन्हें हल्के में ना ले.
@Abhay12121
https://t.co/UEsINP1TTZ",Neutral
"Bukod sa kalikasan Pia Cayetano may hirit pa kaya nais i-ban mga plastic sa Senado
#NewsKoNews @piacayetano
https://t.co/rx2WgqTThu",Neutral
@BevElliott9 @ctvottawa There's nothing more 21st-century dystopia than industrial companies refusing to reduce THEIR waste instead lobbying to ban consumer plastic bags then manufacturing &amp; SELLING apartment-chute-sized plastic bags to consumers in major cities at a profit to throw away anyway.,Positive
"2016 Brian: I don’t like Trump but he’s the pro life candidate so I have to vote for him.

2022 Brian: I have to vote for Republicans in midterms so they don’t ban plastic bags

Me: dude they are forcing women to carry rapists babies and delaying medical treatments

Brian: so?",Neutral
@paulg No matter how much we do about climate change plastic ban Unless we do something about Arms and drugs which is killing people from within,Positive
@wutrain @MBTA Emergency bus &amp; bike lanes all in place before the 19th. Procure as many plastic bus boarding islands as you can. Ban the turns that would get in front of the buses and slow them down. Make the bike lanes *wide* and make them *connect* because you need to absorb capacity,Negative
Our #plastic ban partner @UOW is just weeks away from saying farewell to #SingleUsePlastic in its Building 11 Food Court setting up a cleaning station and reusable cutlery well before the 1 November ban. What are your plans for the ban? https://t.co/2RIDdbobBi https://t.co/ujOZSt1vHr,Neutral
@BrindusaB1 Nope...they'll probably just ban all kind of plastic...,Positive
"@Manasaavacha Yes u r correct EE below Plastic ni Ban cheyyali
Pandi mooti ni https://t.co/77uxZW2kcT",Neutral
"Left logic...
Ban plastic straws that have a paper wrap for paper straws that have a plastic wrap.",Neutral
Ban Plastic Shopping Bags in Toronto - Sign the Petition! https://t.co/KdZ8LhnFQh via @CdnChange,Neutral
@Melbourne_says That dirty rag will no doubt end up down a storm drain and into the ocean…I hope ole Rupert uses biodegradable plastic bags 🤔 Can’t find any info to confirm whether these were included in the single use ban in Victoria.,Negative
Ban Single-Use Plastic Bags in the U​.​S. - Sign the Petition! https://t.co/Vz1gN7kCje via @Change,Neutral
@s_guilbeault Ya let's reach plastic litter with paper and cardboard and Styrofoam.  BTW paper bags take much more energy to produce than plastic bags. CO2 emissions rise to meet plastic ban hmmm.,Positive
"We know that getting used to Belize's single-use plastic ban will take some time so today we're sharing a thread for hosting a #plasticfree event!

#PlasticPollution #SingleUsePlastic #toloveandprotectbelize https://t.co/LQ4PMF3HfH",Neutral
"I'm going to harp on the insanity of classifying 'plastic manufactured items' as 'toxic substances'

The goal was to ban plastic forks but the potential unintended consequences are hilarious.

Does putting up an election sign count as a chemical spill?

https://t.co/I6BlpKxtP4",Positive
@kamlanichkole Forked tongue Matthew Samuda who is a total failure will come with his smooth talk which really means nothing just like plastic ban.,Positive
@sainsburys Ban disposal BBQs and get your act together regarding #ClimateCrisis and biodiversity crisis and single use plastic production.,Negative
BAN PLASTIC 😟 https://t.co/GmBQ06zTqz,Neutral
@gmbutts @PDansmabul Better ban plastic forks ASAP while you guys jetset across the planet pointing fingers at the minions.,Positive
"Bad News: Global Warming War in Europe Coming war in China Fuel Crisis Cost of Living Crisis Trade Crisis Tory party lurching to far-right Money Pox spreading fast and more.
Good News: M&amp;S are banning plastic coat-hangers and Govt. to ban disposable BBQs.",Positive
The ArtOfBread takes environmental responsibility seriously🧐We have waste control standards like Community Compost Program  💫Recycling Facility✨Reduce Packaging ✨Plastic Ban✨Regular Waste audits 👀measure and reduce waste #restaurant #NFT #tech #ETH #recycling #web3 #Crypto https://t.co/6gn1KmOd3K,Negative
"@RaymondDurk The motive to delay a project can be anything rarely is it actually an environmental concern. 

For example a plastics mfg sued the CEQA doc on a ban of plastic bags.  They were not claiming that the ban was env bad just that the transparency report was delinquent",Negative
The #plastics industry is once again suing the federal government over the ban of single-use plastics. https://t.co/eBTdEz6WxV #plasticpollution,Neutral
Ban Single-Use Plastic Bags in the U​.​S. - Sign the Petition! https://t.co/gtM89in95w via @UKChange,Neutral
*City of Seattle after Safeway makes their plastic bags a mm thicker and completely circumvents the plastic bag ban* https://t.co/RERCalgtEb,Positive
Many countries in Africa have legislated Plastic Bag bans over the last decade. Superficially they are easy things to ban as going back one more decade most consumers on the continent weren't even using them. Unfortunately bans are not always enforced as we see here in #Kenya https://t.co/8OxrKQaoIO,Positive
Many countries and states like California will ban single-use plastics https://t.co/8CPcjYJ6lG help my tree planting https://t.co/XpPdtdYmBY &amp; ReTweet #ecosystem,Positive
@waluwande We particularly hail her for the ban of plastic bags if this photo was taken prior to the ban you can be sure one or two would have appeared on that Pic..,Positive
@gauravcsawant This ad is good but why not also raise questions to the government who allows import of such items. Also since we have ban on single use plastics why are such plastic flags are readily available in the market? How many of them would be reused?,Positive
@s_guilbeault Teach new immigrants not to litter. Are you gonna ban plastic wrap on meat &amp; other food products? Oh right no more meat eat bugs.,Positive
Today's Ask MRSC:  Does the state’s plastic bag ban apply to dog waste bags? If so what should the city use at its dog waste dispensers at city parks? Do you have examples of other cities’ dog waste policies? Find the answer here: https://t.co/rj3M5IG1uS https://t.co/gXuWUbN78r,Negative
@Shitlawns This plastic grass business is repellant obviously. It seems to be getting dangerous now though and as much as I hate to advocate for telling people what they can and can't do BAN THAT NASTY FUCKING SHITE! NOW!,Negative
"@DunkMcbaggins @beomts @reviews_by_sr @intshitass @SportsTalk1995_ @handsomelyrude @ashtpmny Big companies uses plastics which is bad. Ban them or restrict the use of plastic bottle is a start. Aluminum cans are much better than plastics. Greedy companies also don't dispose their waste properly cus it's expensive to do so.

Attack big companies.",Negative
"@DunkMcbaggins @beomts @reviews_by_sr @intshitass @SportsTalk1995_ @handsomelyrude @ashtpmny Hugely tax companies that produces the most plastic use the funds to help degrade plastics ban oil and waste dumping in the ocean start to rely less on oil and use alternatives.

There's many things that the government can do but won't since it won't bring in the money.",Positive
".@s_guilbeault  Next Step.
BAN @amazon from adding 6 plastic air bags in gaint box to ship Watch Batteries... https://t.co/P9ItLAiZd0 https://t.co/eVfN7h0bSX",Neutral
Ban Single-Use Plastic Bags in the U​.​S. - ¡Firma la petición! https://t.co/t8Jbz2PLBB via @UKChange,Neutral
"@sakurapill The alternatives they often propose aren't even feasible or sustainable.
They expect us all to switch over to EV cars fueled by solar/wind generated farms? Ban plastic and convert to paper straws? Both suck",Neutral
@s_guilbeault https://t.co/dLEXdbkvvI,Neutral
"Oh this is easy. 

1- Ban plastic worldwide. Only hemp plastic/biodegradable plastic 
2- restrictions on private jet usage / minimum milage requirements 
3- Ban all fossil fuels. 
4- Wind turbines  and solar farms
5- Forest / Rainforest restoration.

I could go on. https://t.co/01nuG4Penl",Positive
@Shitlawns I bet the houses next door will be flooded in the winter ! what a heap of shit that is ! Ban the shit plastic lawns !!,Negative
"TL antha Plastic plastic ani okate gola...

Plastic is not good yaar.. Ban plastic.. save earth..

#saynotoplastic",Negative
"No one wants to see plastic litter in their local park or hiking trail or on the beach where their kids play.

That's why we're banning the manufacture export and sale of harmful single-use plastics in Canada. 

#beatplasticpollution

https://t.co/hlKQ5850f5",Positive
"Plastic bags must be ban

Without incurring any cost issue a circular advising advertising agencies to show Cloth Bags in hands where market places or shopping is being shown

In dramas in movies etc.

Create awareness https://t.co/JdxtU9DUpB",Neutral
@AnsaServices What can be done about unwanted deliveries of plastic bags (which go straight into recycling)? I rarely see filled bags left out for collection so I guess most residents do the same. Can the council ban such wasteful activities? https://t.co/LPEQLTqEMd,Positive
@PhiladelphiaAF @NickAndrewRusso @thephilacitizen @PhilaController @SaveDotComTrash The fact these companies believe spraying trash sometimes even out the windows of a moving vehicle is an effective marketing tool + we’re left to clean it up stinks too. Names of the guilty are literally printed on the plastic bags which somehow are skating thru the bag ban !?,Negative
"@JetCityVtgTees @WaypointD @NRA @fatherGuidoOTC @shooter_danyela MY RIGHTS are not up to you to decide because you are afraid of a rifle with fancy plastic parts hanging off it.

Which of these 3 rifles would you ban? Gun people please let him respond first! https://t.co/YGDjTZERTD",Negative
"Humans are crazy  they ban plastic to use paper products.

Promoting campaigns by writing on a Big Paper.

Also writing ""Save Trees"" on the same😭

Kill me",Negative
"When January 2023 arrives you’ll need a re-useable shopping bag if you hit any of Media’s stores.

https://t.co/sguhd9soDY https://t.co/pUJ2vcc0aO",Neutral
Right. People want to ban plastic straws but leave masking up to voluntary compliance. https://t.co/PK9ns6WmlL,Positive
"@RichC Oh shit; better ban gas lawnmowers and leaf blowers better use more paper straws wrapped in plastic.
Maybe if we all give 100% of our money to climate grifters they can tell the Tongan Volcano to calm TF down.",Positive
"@AnderBois @CityofProv @dunkindonuts @RhodeIslandDEM Even wilder!

Cumby's too. Just straight up ignoring the law. I'm not even a plastic straw ban diehard (the cups bother me more) but like just wtf!",Positive
"We love this letter in today's @oregonian: ""In order to protect our wildlife and environment Oregonians must stand up to the plastic industry. It isn’t worth polluting our environment for centuries just to use a foam cup or container for a few moments."" 

https://t.co/PpDhFFdKFX",Positive
@TheChefsGardens I just gave my best friend a handful of the plastic gloves I bought last year specifically for pumping gas. I keep a whole bunch of them in the seat pocket behind me. I wonder if my state is going to ban fabric grocery bags again like at the beginning of Covid? They should.,Positive
"Is the latest plastic ban working? The data isn’t available - https://t.co/wbskdOYTc2  Is the latest plastic ban working? The data isn’t available https://t.co/pAEDKoc8Sh
Download mint app for latest in Business News - https://t.co/WfYhbdwDGF",Positive
Plastic manufacturers take Trudeau government to court over plastics ban https://t.co/9IH7CCuwkL via @truenorthcentre,Neutral
@_disneyPrinces2 @KeerthyOfficial Ban kaadhu boycott cheyali plastic movies ni,Neutral
@UrlifeMattersOR @CordobaFaith That’s right! Ban plastic straws close power plants stop farmers and use 3 useless masks. And we are expected to believe that this is for our own good?,Positive
Ban Single-Use Plastic Bags in the U​.​S. - Sign the Petition! https://t.co/zF0DYxvUGY via @Change,Neutral
@LeenerTep @momnyc1234 @sarahbeth345 @orangetheory The hypocrisy bothers me. The same ppl who ban plastic straws and preach about climate change don't care about the real environmental harms of our pandemic products and practices. All this trash so they can protect themselves from a virus that they are already immune to🤔,Positive
I think there should be a plastic ban as good as possible the world changed anyways people should change with it. I don't care if the forest gets thinned a little bit as long as it's done by experts and doesn't go after the hard wood. Some of the maples maybe some is good.,Positive
"Here we go again 🙄 Big Plastic litigating its temper tantrum to block Canada's #ZeroPlasticWaste ban (which covers just 3% of plastics btw).

Imagine caring so much about $$$ you would fight in court to keep 6-ring can holders in circulation 🤢 #Cdnpoli

https://t.co/7x141Yl4cs",Positive
@MRb33R @wyonaf @Kennsigrid1 Can't wait to see you in your kitchen with a plastic spork knife combo trying to cut your chicken so you can make dinner after they ban all knives. Lmfao would be fuckin hilarious.,Negative
@CanadianAndi Sad...and it's not just the visible destruction. The amount of plastic particles getting into the ocean food chain poses a danger to sea life and humans. The Liberals are right to ban single use plastics. It should go further and faster imo!!,Positive
@murtazawahab1 sir can you please confirm if the ban on plastic extends to plastic bags used by textile industry for export purposes? Due to lack of clarification there is alot of disturbance in export textile/plastic industry. Your feedback on the issue will be highly appreciated.,Positive
Let’s ban plastic straws but then get the entire country hooked on disposable vapes,Neutral
@LiteralLiberalY @narne_kumar06 Something plastic ban related and environment/renewable energy/electric bus related,Neutral
Irish local planning authorities need to ban externally placed electricity &amp; gas meter boxes. What’s wrong with knocking on the door to get a meter reading? instead we have all these white plastic rectangles stuck on every house on the road. They look shite.,Negative
@CP24 Is this because we didn’t ban plastic straws fast enough?,Positive
@ldbreeded @Mjpersonalt @Bianca17737904 @MerkMilly @VladPapi @ashtpmny It’s disgusting &amp; it’s sad how much we are a consumer based nation. I can’t even fully protest but yea ban plastic straws &amp; bags and make us feel like that’s helping,Negative
@newscientist @JustineAmmendo1 Every masked person is so scared they will look the other way at all this mask pollution. Does a turtle need a mask pulled out it’s nose before people start wanting to ban them like plastic straws?,Negative
"Out of more than two dozen shops only two were selling flowers packed in plastic.
“We have been selling flowers wrapped in newspapers for years now” said Richard Edison a flower seller. “People are demanding it.”
https://t.co/HBaTWT9BTQ",Positive
क्या नवीनतम प्लास्टिक प्रतिबंध काम कर रहा है? डेटा उपलब्ध नहीं है https://t.co/VI57x4zB6y,Neutral
Please enforce plastic ban as early as possible. They're damaging the environment including drainage blockage. https://t.co/OiiSWS04MF,Positive
@elizagnnnn @newscientist @JustineAmmendo1 US should ban styrofoam &amp; plastic like other countries have. US buys products from countries that banned them but manufacture them. Folks grew up 60 years ago without plastic population has doubled. Alternative resources becoming scarce &amp; costly. Folks won't fill water from tap.,Positive
"""Since the announcement of the [plastic] ban we have been making attempts to spread awareness about how plastic usage has been damaging our environment: shares @arunyellamaty speaking about our work to reduce single-use plastics. 📰 Read more here: https://t.co/Dpv8CxhBzN https://t.co/Uf3EX6owPg",Positive
Korutla Municipality Task force committee has surprised inspection at  markets places for ban of single use plastic below 120 microns &amp; seized plastic material and also fine imposed.@arvindkumar_ias  @cdmatelangana @Collector_JGTL @Vidyasagarrao_K  @ACLB_JAGTIAL https://t.co/0fJT5FHqAS,Positive
Plastic shoppers par ban pehle bhi huwa tha. Hope you remember how long that lasted you clown https://t.co/9zN27NZPNU,Negative
@murtazawahab1 Even many African countries ban plastic bags .,Positive
@FifafoozTv @MaheckChahal Don’t even tk a candle near her...she will melt...😜😜she doesn’t know about plastic ban...🤣🤣,Positive
"Saying you want to reduce pollution and then not switching to electric is similar to promoting a plastic ban while using polythene garbage bags. 👩🏻‍🏫

#Switchtoelectric #Emobility #Electricvehicles #VerdeMobility #EVcharging #EVchargers #Pollution",Neutral
"पॉलीथीन बाजार से नहीं हो रही खत्म

#Polythene #Ban #Plastic #Singleuseplastic https://t.co/w6shKv0XgZ",Neutral
"Jubilee have laid blame on the wind magnitude and direction for the massive loss in Mt. Kenya.

They are saying this greatly undermined their ability to detect the YELLOW wave.

SG Tuju wants CLIMATE CHANGE to be reexamined and the ban on polythene bags lifted 🤣🤣🤣 https://t.co/Rel8fkXWyx",Positive
"Today mc Chadoora conducts Road show/ Announcement against Ban on Single use plastic &amp; Polythene bags .
@ULBKASHMIR 
@DC_Budgam 
@EBudgam https://t.co/aKNCLMKRDD",Negative
@StandardKenya This man doesn't know what awaits him. The polythene papers carrier bag he his holding is a ban items.,Neutral
"@murtazawahab1 Sir with due respect..while you conveniently put the blame on general public pls respond the following about single use plastic/polythene:
1. You've the Sindh govt for the last 14 years what steps did you take to ban single use plastic?
2. What is the hurdle in ban?",Negative
@arind_bhattac @Mamta_nigam14 हाँ और प्लास्टिक polythene ban ही लग रहा है या उनका plastic organic है,Neutral
@912CroozeFM If the gvt it's self can't ban polythene bags and plastics how will a lay man stop using them?. Everything in Uganda is messed up and problem is leadership of all levels. President him self talks and never acts.  *Solution is new governance* tht seriously loves Ug &amp; its people.,Negative
@aatmdevs But if I observe I can see single use polythene bag still in use 😅😂😅 irrespective of ban....,Negative
"ਮਹਾ ਨਲਾਇਕਾਂ ਦੀ ਟੀਮ ਆਮ ਆਦਮੀ ਪਾਰਟੀ ਸਭ ਤੋਂ ਪਹਿਲਾਂ ਇਹ ਤਹਿ ਕਰੇ ban ਕੀ ਕਰਨਾ ਹੈ।
ਪਲਾਸਟਿਕ ਵਿੱਚ ਪਲਾਸਟਿਕ bottles ਖਿਲੌਣੇPVC pipes ਅਤੇ ਹੋਰ ਬਹੁਤ ਕੁਝ ਆਉਂਦਾ
ਦੂਜਾ ਸਿਰਫ ਤੁਸੀਂ polythene hand bags ban ਕਰ ਰਹੇ ਤੇ ਬਹਾਨੇ ਨਾਲ ਚਲਾਨ ਕਰ ਆਪਣਾ ਖ਼ਜ਼ਾਨਾ ਤੇ ਢਿੱਡ ਭਰ ਰਹੇ ਆਮ ਲੋਕਾਂ ਤੋਂ",Neutral
"@Sandhwan ਮਹਾ ਨਲਾਇਕਾਂ ਦੀ ਟੀਮ ਆਮ ਆਦਮੀ ਪਾਰਟੀ ਸਭ ਤੋਂ ਪਹਿਲਾਂ ਇਹ ਤਹਿ ਕਰੇ ban ਕੀ ਕਰਨਾ ਹੈ।
ਪਲਾਸਟਿਕ ਵਿੱਚ ਪਲਾਸਟਿਕ bottles ਖਿਲੌਣੇPVC pipes ਅਤੇ ਹੋਰ ਬਹੁਤ ਕੁਝ ਆਉਂਦਾ
ਦੂਜਾ ਸਿਰਫ ਤੁਸੀਂ polythene hand bags ban ਕਰ ਰਹੇ ਤੇ ਬਹਾਨੇ ਨਾਲ ਚਲਾਨ ਕਰ ਆਪਣਾ ਖ਼ਜ਼ਾਨਾ ਤੇ ਢਿੱਡ ਭਰ ਰਹੇ ਆਮ ਲੋਕਾਂ ਤੋਂ",Neutral
"ਸਭ ਤੋਂ ਵੱਡੇ ਮੂਰਖ ਉਹ ਹਨ ਜਿਹਨਾਂ ਨੂੰ ਲੱਗਦਾ ਹੈ ਪੋਲੀਥੀਨ ban ਕਰਨਾ environment ਲਈ ਲਾਹੇਵੰਦ ਹੈ।
ਮੇਰਾ ਉਹਨਾਂ ਸਭ ਮੂਰਖਾਂ ਨੂੰ ਸਵਾਲ ਹੈ ਕੁਰਕੁਰੇlays ਤੇ ਹਰ ਛੋਟੀ ਵੱਡੀ packing polythene ਚ ਹੀ ਹੈ ਬਸ ਲਿਫਾਫੇ ਦਾ ਰੰਗ ਬਦਲਿਆ ਹੈ।ਤੇ ਸਭ ਤੋਂ ਵੱਧ CFCs ਖਤਰਨਾਕ ਹਨ ਜੋ ਫਰਿੱਜ ਚੋਂ release ਹੁੰਦੇ ਹਨ।",Neutral
But guys can you imagine we failed to ban a mere polythene bag in Uganda? 😂😂 A mere kaveera,Negative
Government of uganda asks MPs to support total ban on polythene bags https://t.co/Co41NUoBWL,Neutral
@KagutaMuseveni Then Mzee why can't we ban polythene bags production!?,Neutral
@KagutaMuseveni Ban polythene bags.. strict laws on waste disposal.,Negative
"The Minister for Water and Environment Sam Cheptoris has said the ministry plans to bring back a proposal on a total ban on polythene bags and have them replaced with other environment-friendly materials.

https://t.co/qTaehcMcpG #VisionUpdates",Negative
"The Minister for Water and Environment Hon. Sam Cheptoris has asked Members of Parliament to support the ministry in its bid to reintroduce a total ban on polythene bags.

#PulseNews
https://t.co/Bkos44s1nR",Neutral
@nilepostnews I strongly agree with Government's proposal for a total ban on polythene bags.They're not only a danger to the environmentbut also on our healthmarine life and food security.Building in wetlandsNEMA &amp; Government should completely ban it not merely complain.,Positive
"@Parliament_Ug @pwatchug Thanks so much for the concern to ban polythene bags in the country @SamCheptoris1 @SebeiNation 
Sebei is properly represented",Positive
Government Asks MPs To Support Total Ban On Polythene Bags https://t.co/U6YGksRcOy,Neutral
"The fight against the ""Kaveera"" is back as Government asks MPs to support total ban on polythene bags.
Can Ugandans stop using ""Buveera""
https://t.co/BJh1D9NM3j",Neutral
@nilepostnews 90% of our packages are done using polythene bags including spoons. You are blaming parliament after you failed to implement your fifths ban on the same,Negative
"Government asks MPs to support total ban on polythene bags
#NilePostNews #NBSUpdates 

https://t.co/QwxphWBhm2",Neutral
Government asks MPs to support total ban on polythene bags https://t.co/WNfvzF9Ima,Neutral
".""I seek to re-introduce a total ban on polythene bags. He says the ban on polythene below 30 microns have not worked."" Minister Sam Cheptoris while appearing before the Human rights committee
#ChimpReportsNews @min_waterUg
Details: https://t.co/gpD2Zp5Gj4 https://t.co/me6ep3Uyop",Neutral
"Environment Minister Sam Cheptoris seeks to re-introduce a total ban on polythene bags. He says the ban on polythene below 30 microns have not worked. Cheptoris made the remarks while appearing before the Human rights committee earlier today.
📸 @Parliament_Ug 
#Babatvupdates https://t.co/5eNnvhseWl",Neutral
